Z N n l E_th_ E_0_ sigma_0_ y_a_ P y_w_
1 1 1 0 13.6 0.43 5.48e+04 32.9 2.96 0
2 2 1 0 24.6 6 4.47e+03 2.2 6.1 0
2 1 1 0 54.4 1.72 1.37e+04 32.9 2.96 0
3 3 2 0 5.39 3.47 47.7 20.4 4.42 0
3 3 1 0 64.4 27.4 156 33.8 1.49 0
3 2 1 0 75.6 20.1 320 7.39 2.92 0
3 1 1 0 122 3.87 6.08e+03 32.9 2.96 0
4 4 2 0 9.32 3.43 1.42e+03 2.71 10.6 0
4 4 1 0 119 40.9 131 121 1.35 0
4 3 2 0 18.2 6.68 49 34.2 3.74 0
4 3 1 0 130 47.6 98 1.17e+03 1.02 0
4 2 1 0 154 17.6 546 17.2 3.16 0
4 1 1 0 218 6.88 3.42e+03 32.9 2.96 0
5 5 2 1 8.3 6.66 364 9.5 5.47 0.561
5 5 2 0 14.1 6.49 1.52e+04 1.35 12.2 0
5 5 1 0 194 61.5 97 73.5 1.44 0
5 4 2 0 25.2 2.4 153 9.2 9.37 0
5 4 1 0 210 59.8 104 79.2 1.44 0
5 3 2 0 37.9 10.5 42.7 44.3 3.5 0
5 3 1 0 227 65.9 86.1 191 1.21 0
5 2 1 0 259 33.4 285 21.6 2.62 0
5 1 1 0 340 10.8 2.19e+03 32.9 2.96 0
6 6 2 1 11.3 9.44 1.15e+03 5.69 6.34 0.447
6 6 2 0 19.4 10.3 4.56e+03 1.57 10.9 0
6 6 1 0 291 86.6 74.2 55 1.5 0
6 5 2 1 24.4 10.9 179 33.1 4.15 0.528
6 5 2 0 30.5 2.99 1.18e+03 3.09 14.8 0
6 5 1 0 308 91.1 66.5 96.1 1.34 0
6 4 2 0 47.9 3.94 122 15 7.49 0
6 4 1 0 329 83.7 80.7 74.7 1.44 0
6 3 2 0 64.5 7.84 71.1 28.3 4.75 0
6 3 1 0 352 84.1 81.1 74.6 1.43 0
6 2 1 0 392 46.2 234 21.8 2.58 0
6 1 1 0 490 15.5 1.52e+03 32.9 2.96 0
7 7 2 1 14.5 11.6 1.03e+04 2.36 8.82 0.424
7 7 2 0 25.4 14.8 772 2.31 9.14 0
7 7 1 0 405 127 47.5 138 1.25 0
