#Compound = En60fs40 crystalline   [Mg0.6Fe0.4SiO3]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.1906588e-24   1.5085079e-24   6.8215090e-25
       6.7002000   2.1904995e-24   1.5084068e-24   6.8209267e-25
       6.7004000   2.1903405e-24   1.5083057e-24   6.8203478e-25
       6.7006000   2.1901813e-24   1.5082059e-24   6.8197542e-25
       6.7008000   2.1900224e-24   1.5081056e-24   6.8191686e-25
       6.7010000   2.1898632e-24   1.5080045e-24   6.8185872e-25
       6.7012000   2.1897041e-24   1.5079041e-24   6.8179993e-25
       6.7014000   2.1895451e-24   1.5078038e-24   6.8174130e-25
       6.7016000   2.1893860e-24   1.5077038e-24   6.8168220e-25
       6.7018000   2.1892216e-24   1.5075970e-24   6.8162459e-25
       6.7020000   2.1890625e-24   1.5074962e-24   6.8156623e-25
       6.7022000   2.1889034e-24   1.5073960e-24   6.8150740e-25
       6.7024000   2.1887445e-24   1.5072959e-24   6.8144858e-25
       6.7026000   2.1885854e-24   1.5071953e-24   6.8139008e-25
       6.7028000   2.1884267e-24   1.5070949e-24   6.8133176e-25
       6.7030000   2.1882676e-24   1.5069949e-24   6.8127272e-25
       6.7032000   2.1881085e-24   1.5068943e-24   6.8121421e-25
       6.7034000   2.1879497e-24   1.5067935e-24   6.8115628e-25
       6.7036000   2.1877907e-24   1.5066939e-24   6.8109682e-25
       6.7038000   2.1876319e-24   1.5065936e-24   6.8103836e-25
       6.7040000   2.1874729e-24   1.5064930e-24   6.8097997e-25
       6.7042000   2.1873139e-24   1.5063919e-24   6.8092200e-25
       6.7044000   2.1871553e-24   1.5062919e-24   6.8086336e-25
       6.7046000   2.1869963e-24   1.5061915e-24   6.8080485e-25
       6.7048000   2.1868376e-24   1.5060918e-24   6.8074574e-25
       6.7050000   2.1866732e-24   1.5059856e-24   6.8068760e-25
       6.7052000   2.1865143e-24   1.5058853e-24   6.8062894e-25
       6.7054000   2.1863557e-24   1.5057850e-24   6.8057065e-25
       6.7056000   2.1861967e-24   1.5056848e-24   6.8051189e-25
       6.7058000   2.1860380e-24   1.5055838e-24   6.8045427e-25
       6.7060000   2.1858793e-24   1.5054839e-24   6.8039539e-25
       6.7062000   2.1857204e-24   1.5053834e-24   6.8033700e-25
       6.7064000   2.1855618e-24   1.5052829e-24   6.8027888e-25
       6.7066000   2.1854030e-24   1.5051831e-24   6.8021995e-25
       6.7068000   2.1852443e-24   1.5050837e-24   6.8016062e-25
       6.7070000   2.1850856e-24   1.5049826e-24   6.8010304e-25
       6.7072000   2.1849268e-24   1.5048828e-24   6.8004403e-25
       6.7074000   2.1847682e-24   1.5047827e-24   6.7998551e-25
       6.7076000   2.1846041e-24   1.5046770e-24   6.7992706e-25
       6.7078000   2.1844456e-24   1.5045770e-24   6.7986854e-25
       6.7080000   2.1842868e-24   1.5044762e-24   6.7981066e-25
       6.7082000   2.1841281e-24   1.5043763e-24   6.7975179e-25
       6.7084000   2.1839696e-24   1.5042762e-24   6.7969341e-25
       6.7086000   2.1838109e-24   1.5041762e-24   6.7963471e-25
       6.7088000   2.1836525e-24   1.5040752e-24   6.7957726e-25
       6.7090000   2.1834937e-24   1.5039754e-24   6.7951833e-25
       6.7092000   2.1833352e-24   1.5038759e-24   6.7945929e-25
       6.7094000   2.1831767e-24   1.5037757e-24   6.7940098e-25
       6.7096000   2.1830181e-24   1.5036750e-24   6.7934318e-25
       6.7098000   2.1828543e-24   1.5035694e-24   6.7928493e-25
       6.7100000   2.1826957e-24   1.5034703e-24   6.7922546e-25
       6.7102000   2.1825371e-24   1.5033690e-24   6.7916804e-25
       6.7104000   2.1823788e-24   1.5032692e-24   6.7910953e-25
       6.7106000   2.1822202e-24   1.5031701e-24   6.7905003e-25
       6.7108000   2.1820618e-24   1.5030689e-24   6.7899293e-25
       6.7110000   2.1819033e-24   1.5029688e-24   6.7893453e-25
       6.7112000   2.1817448e-24   1.5028692e-24   6.7887555e-25
       6.7114000   2.1815865e-24   1.5027692e-24   6.7881728e-25
       6.7116000   2.1814281e-24   1.5026688e-24   6.7875927e-25
       6.7118000   2.1812697e-24   1.5025696e-24   6.7870006e-25
       6.7120000   2.1811059e-24   1.5024632e-24   6.7864271e-25
       6.7122000   2.1809473e-24   1.5023641e-24   6.7858323e-25
       6.7124000   2.1807892e-24   1.5022636e-24   6.7852561e-25
       6.7126000   2.1806307e-24   1.5021637e-24   6.7846698e-25
       6.7128000   2.1804725e-24   1.5020634e-24   6.7840912e-25
       6.7130000   2.1803141e-24   1.5019641e-24   6.7835004e-25
       6.7132000   2.1801557e-24   1.5018633e-24   6.7829238e-25
       6.7134000   2.1799975e-24   1.5017638e-24   6.7823374e-25
       6.7136000   2.1798392e-24   1.5016643e-24   6.7817492e-25
       6.7138000   2.1796756e-24   1.5015595e-24   6.7811611e-25
       6.7140000   2.1795173e-24   1.5014592e-24   6.7805810e-25
       6.7142000   2.1793589e-24   1.5013592e-24   6.7799965e-25
       6.7144000   2.1792008e-24   1.5012590e-24   6.7794185e-25
       6.7146000   2.1790425e-24   1.5011591e-24   6.7788346e-25
       6.7148000   2.1788845e-24   1.5010598e-24   6.7782465e-25
       6.7150000   2.1787262e-24   1.5009595e-24   6.7776668e-25
       6.7152000   2.1785679e-24   1.5008593e-24   6.7770861e-25
       6.7154000   2.1784098e-24   1.5007595e-24   6.7765039e-25
       6.7156000   2.1782462e-24   1.5006547e-24   6.7759153e-25
       6.7158000   2.1780881e-24   1.5005552e-24   6.7753290e-25
       6.7160000   2.1779300e-24   1.5004549e-24   6.7747509e-25
       6.7162000   2.1777718e-24   1.5003555e-24   6.7741634e-25
       6.7164000   2.1776137e-24   1.5002550e-24   6.7735870e-25
       6.7166000   2.1774556e-24   1.5001558e-24   6.7729975e-25
       6.7168000   2.1772976e-24   1.5000556e-24   6.7724202e-25
       6.7170000   2.1771396e-24   1.4999567e-24   6.7718283e-25
       6.7172000   2.1769759e-24   1.4998514e-24   6.7712454e-25
       6.7174000   2.1768181e-24   1.4997515e-24   6.7706657e-25
       6.7176000   2.1766600e-24   1.4996513e-24   6.7700870e-25
       6.7178000   2.1765021e-24   1.4995514e-24   6.7695065e-25
       6.7180000   2.1763439e-24   1.4994519e-24   6.7689207e-25
       6.7182000   2.1761859e-24   1.4993523e-24   6.7683365e-25
       6.7184000   2.1760281e-24   1.4992530e-24   6.7677505e-25
       6.7186000   2.1758646e-24   1.4991472e-24   6.7671740e-25
       6.7188000   2.1757067e-24   1.4990479e-24   6.7665882e-25
       6.7190000   2.1755487e-24   1.4989487e-24   6.7659996e-25
       6.7192000   2.1753907e-24   1.4988489e-24   6.7654171e-25
       6.7194000   2.1752329e-24   1.4987490e-24   6.7648391e-25
       6.7196000   2.1750750e-24   1.4986486e-24   6.7642642e-25
       6.7198000   2.1749171e-24   1.4985492e-24   6.7636797e-25
       6.7200000   2.1747538e-24   1.4984443e-24   6.7630951e-25
       6.7202000   2.1745959e-24   1.4983448e-24   6.7625116e-25
       6.7204000   2.1744382e-24   1.4982461e-24   6.7619209e-25
       6.7206000   2.1742802e-24   1.4981461e-24   6.7613411e-25
       6.7208000   2.1741225e-24   1.4980461e-24   6.7607645e-25
       6.7210000   2.1739646e-24   1.4979468e-24   6.7601786e-25
