#Compound = En90Fs10 amorphous   [Mg0.9Fe0.1SiO3]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.0657599e-24   1.3984543e-24   6.6730560e-25
       6.7002000   2.0656126e-24   1.3983662e-24   6.6724643e-25
       6.7004000   2.0654656e-24   1.3982780e-24   6.6718756e-25
       6.7006000   2.0653239e-24   1.3981951e-24   6.6712878e-25
       6.7008000   2.0651770e-24   1.3981056e-24   6.6707141e-25
       6.7010000   2.0650299e-24   1.3980175e-24   6.6701239e-25
       6.7012000   2.0648828e-24   1.3979288e-24   6.6695401e-25
       6.7014000   2.0647413e-24   1.3978468e-24   6.6689456e-25
       6.7016000   2.0645943e-24   1.3977573e-24   6.6683694e-25
       6.7018000   2.0644475e-24   1.3976685e-24   6.6677897e-25
       6.7020000   2.0643005e-24   1.3975802e-24   6.6672028e-25
       6.7022000   2.0641589e-24   1.3974982e-24   6.6666067e-25
       6.7024000   2.0640121e-24   1.3974093e-24   6.6660288e-25
       6.7026000   2.0638652e-24   1.3973205e-24   6.6654469e-25
       6.7028000   2.0637186e-24   1.3972325e-24   6.6648616e-25
       6.7030000   2.0635770e-24   1.3971499e-24   6.6642711e-25
       6.7032000   2.0634302e-24   1.3970610e-24   6.6636912e-25
       6.7034000   2.0632835e-24   1.3969728e-24   6.6631070e-25
       6.7036000   2.0631366e-24   1.3968834e-24   6.6625322e-25
       6.7038000   2.0629954e-24   1.3968010e-24   6.6619435e-25
       6.7040000   2.0628486e-24   1.3967133e-24   6.6613530e-25
       6.7042000   2.0627019e-24   1.3966247e-24   6.6607721e-25
       6.7044000   2.0625553e-24   1.3965350e-24   6.6602030e-25
       6.7046000   2.0624140e-24   1.3964542e-24   6.6595978e-25
       6.7048000   2.0622675e-24   1.3963646e-24   6.6590290e-25
       6.7050000   2.0621208e-24   1.3962763e-24   6.6584449e-25
       6.7052000   2.0619741e-24   1.3961873e-24   6.6578686e-25
       6.7054000   2.0618331e-24   1.3961055e-24   6.6572761e-25
       6.7056000   2.0616865e-24   1.3960170e-24   6.6566942e-25
       6.7058000   2.0615401e-24   1.3959284e-24   6.6561170e-25
       6.7060000   2.0613936e-24   1.3958397e-24   6.6555386e-25
       6.7062000   2.0612523e-24   1.3957568e-24   6.6549550e-25
       6.7064000   2.0611060e-24   1.3956679e-24   6.6543810e-25
       6.7066000   2.0609595e-24   1.3955806e-24   6.6537889e-25
       6.7068000   2.0608132e-24   1.3954920e-24   6.6532116e-25
       6.7070000   2.0606721e-24   1.3954088e-24   6.6526327e-25
       6.7072000   2.0605257e-24   1.3953217e-24   6.6520400e-25
       6.7074000   2.0603794e-24   1.3952328e-24   6.6514660e-25
       6.7076000   2.0602330e-24   1.3951443e-24   6.6508866e-25
       6.7078000   2.0600922e-24   1.3950617e-24   6.6503047e-25
       6.7080000   2.0599457e-24   1.3949728e-24   6.6497289e-25
       6.7082000   2.0597995e-24   1.3948862e-24   6.6491327e-25
       6.7084000   2.0596533e-24   1.3947974e-24   6.6485590e-25
       6.7086000   2.0595124e-24   1.3947147e-24   6.6479765e-25
       6.7088000   2.0593662e-24   1.3946255e-24   6.6474072e-25
       6.7090000   2.0592200e-24   1.3945378e-24   6.6468218e-25
       6.7092000   2.0590739e-24   1.3944495e-24   6.6462438e-25
       6.7094000   2.0589331e-24   1.3943665e-24   6.6456658e-25
       6.7096000   2.0587870e-24   1.3942787e-24   6.6450826e-25
       6.7098000   2.0586410e-24   1.3941901e-24   6.6445087e-25
       6.7100000   2.0584949e-24   1.3941021e-24   6.6439279e-25
       6.7102000   2.0583540e-24   1.3940194e-24   6.6433466e-25
       6.7104000   2.0582081e-24   1.3939311e-24   6.6427704e-25
       6.7106000   2.0580620e-24   1.3938439e-24   6.6421817e-25
       6.7108000   2.0579161e-24   1.3937548e-24   6.6416123e-25
       6.7110000   2.0577755e-24   1.3936729e-24   6.6410262e-25
       6.7112000   2.0576295e-24   1.3935850e-24   6.6404446e-25
       6.7114000   2.0574835e-24   1.3934970e-24   6.6398659e-25
       6.7116000   2.0573376e-24   1.3934079e-24   6.6392973e-25
       6.7118000   2.0571972e-24   1.3933261e-24   6.6387108e-25
       6.7120000   2.0570513e-24   1.3932366e-24   6.6381467e-25
       6.7122000   2.0569053e-24   1.3931489e-24   6.6375640e-25
       6.7124000   2.0567596e-24   1.3930620e-24   6.6369755e-25
       6.7126000   2.0566190e-24   1.3929782e-24   6.6364079e-25
       6.7128000   2.0564734e-24   1.3928909e-24   6.6358248e-25
       6.7130000   2.0563276e-24   1.3928025e-24   6.6352516e-25
       6.7132000   2.0561818e-24   1.3927147e-24   6.6346710e-25
       6.7134000   2.0560415e-24   1.3926319e-24   6.6340968e-25
       6.7136000   2.0558957e-24   1.3925436e-24   6.6335213e-25
       6.7138000   2.0557501e-24   1.3924570e-24   6.6329315e-25
       6.7140000   2.0556044e-24   1.3923680e-24   6.6323641e-25
       6.7142000   2.0554587e-24   1.3922801e-24   6.6317857e-25
       6.7144000   2.0553185e-24   1.3921973e-24   6.6312119e-25
       6.7146000   2.0551728e-24   1.3921096e-24   6.6306324e-25
       6.7148000   2.0550274e-24   1.3920222e-24   6.6300518e-25
       6.7150000   2.0548817e-24   1.3919333e-24   6.6294843e-25
       6.7152000   2.0547414e-24   1.3918518e-24   6.6288965e-25
       6.7154000   2.0545961e-24   1.3917632e-24   6.6283286e-25
       6.7156000   2.0544505e-24   1.3916753e-24   6.6277522e-25
       6.7158000   2.0543052e-24   1.3915884e-24   6.6271679e-25
       6.7160000   2.0541650e-24   1.3915053e-24   6.6265971e-25
       6.7162000   2.0540194e-24   1.3914166e-24   6.6260277e-25
       6.7164000   2.0538741e-24   1.3913290e-24   6.6254510e-25
       6.7166000   2.0537286e-24   1.3912412e-24   6.6248736e-25
       6.7168000   2.0535888e-24   1.3911583e-24   6.6243051e-25
       6.7170000   2.0534433e-24   1.3910711e-24   6.6237219e-25
       6.7172000   2.0532979e-24   1.3909822e-24   6.6231566e-25
       6.7174000   2.0531527e-24   1.3908951e-24   6.6225753e-25
       6.7176000   2.0530127e-24   1.3908126e-24   6.6220008e-25
       6.7178000   2.0528675e-24   1.3907249e-24   6.6214261e-25
       6.7180000   2.0527222e-24   1.3906367e-24   6.6208548e-25
       6.7182000   2.0525769e-24   1.3905488e-24   6.6202810e-25
       6.7184000   2.0524371e-24   1.3904668e-24   6.6197028e-25
       6.7186000   2.0522919e-24   1.3903790e-24   6.6191289e-25
       6.7188000   2.0521468e-24   1.3902912e-24   6.6185563e-25
       6.7190000   2.0520016e-24   1.3902036e-24   6.6179802e-25
       6.7192000   2.0518563e-24   1.3901152e-24   6.6174112e-25
       6.7194000   2.0517167e-24   1.3900330e-24   6.6168368e-25
       6.7196000   2.0515716e-24   1.3899449e-24   6.6162672e-25
       6.7198000   2.0514266e-24   1.3898568e-24   6.6156979e-25
       6.7200000   2.0512814e-24   1.3897694e-24   6.6151205e-25
       6.7202000   2.0511418e-24   1.3896870e-24   6.6145474e-25
       6.7204000   2.0509969e-24   1.3896002e-24   6.6139667e-25
       6.7206000   2.0508517e-24   1.3895108e-24   6.6134091e-25
       6.7208000   2.0507069e-24   1.3894238e-24   6.6128305e-25
       6.7210000   2.0505672e-24   1.3893420e-24   6.6122519e-25
       6.7212000   2.0504223e-24   1.3892536e-24   6.6116864e-25
       6.7214000   2.0502775e-24   1.3891661e-24   6.6111136e-25
       6.7216000   2.0501325e-24   1.3890781e-24   6.6105438e-25
       6.7218000   2.0499931e-24   1.3889967e-24   6.6099640e-25
       6.7220000   2.0498482e-24   1.3889086e-24   6.6093956e-25
       6.7222000   2.0497032e-24   1.3888211e-24   6.6088215e-25
       6.7224000   2.0495586e-24   1.3887338e-24   6.6082472e-25
