#Compound = En90Fs10 crystalline    [Mg0.9Fe0.1SiO3]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.0656845e-24   1.3983789e-24   6.6730560e-25
       6.7002000   2.0655374e-24   1.3982909e-24   6.6724659e-25
       6.7004000   2.0653904e-24   1.3982023e-24   6.6718815e-25
       6.7006000   2.0652486e-24   1.3981187e-24   6.6712984e-25
       6.7008000   2.0651017e-24   1.3980309e-24   6.6707083e-25
       6.7010000   2.0649547e-24   1.3979420e-24   6.6701267e-25
       6.7012000   2.0648075e-24   1.3978534e-24   6.6695411e-25
       6.7014000   2.0646660e-24   1.3977715e-24   6.6689456e-25
       6.7016000   2.0645190e-24   1.3976820e-24   6.6683694e-25
       6.7018000   2.0643721e-24   1.3975936e-24   6.6677848e-25
       6.7020000   2.0642250e-24   1.3975041e-24   6.6672097e-25
       6.7022000   2.0640781e-24   1.3974171e-24   6.6666106e-25
       6.7024000   2.0639367e-24   1.3973336e-24   6.6660313e-25
       6.7026000   2.0637898e-24   1.3972450e-24   6.6654475e-25
       6.7028000   2.0636431e-24   1.3971560e-24   6.6648709e-25
       6.7030000   2.0634961e-24   1.3970686e-24   6.6642752e-25
       6.7032000   2.0633546e-24   1.3969847e-24   6.6636989e-25
       6.7034000   2.0632080e-24   1.3968967e-24   6.6631126e-25
       6.7036000   2.0630611e-24   1.3968090e-24   6.6625209e-25
       6.7038000   2.0629145e-24   1.3967207e-24   6.6619374e-25
       6.7040000   2.0627731e-24   1.3966379e-24   6.6613523e-25
       6.7042000   2.0626263e-24   1.3965496e-24   6.6607664e-25
       6.7044000   2.0624797e-24   1.3964605e-24   6.6601926e-25
       6.7046000   2.0623330e-24   1.3963726e-24   6.6596045e-25
       6.7048000   2.0621918e-24   1.3962894e-24   6.6590245e-25
       6.7050000   2.0620452e-24   1.3962017e-24   6.6584342e-25
       6.7052000   2.0618985e-24   1.3961129e-24   6.6578561e-25
       6.7054000   2.0617521e-24   1.3960240e-24   6.6572802e-25
       6.7056000   2.0616108e-24   1.3959416e-24   6.6566919e-25
       6.7058000   2.0614644e-24   1.3958521e-24   6.6561233e-25
       6.7060000   2.0613178e-24   1.3957647e-24   6.6555313e-25
       6.7062000   2.0611712e-24   1.3956768e-24   6.6549438e-25
       6.7064000   2.0610302e-24   1.3955937e-24   6.6543646e-25
       6.7066000   2.0608837e-24   1.3955048e-24   6.6537894e-25
       6.7068000   2.0607374e-24   1.3954161e-24   6.6532122e-25
       6.7070000   2.0605909e-24   1.3953286e-24   6.6526230e-25
       6.7072000   2.0604498e-24   1.3952456e-24   6.6520425e-25
       6.7074000   2.0603036e-24   1.3951584e-24   6.6514526e-25
       6.7076000   2.0601572e-24   1.3950701e-24   6.6508703e-25
       6.7078000   2.0600110e-24   1.3949811e-24   6.6502984e-25
       6.7080000   2.0598646e-24   1.3948933e-24   6.6497130e-25
       6.7082000   2.0597235e-24   1.3948098e-24   6.6491376e-25
       6.7084000   2.0595774e-24   1.3947225e-24   6.6485487e-25
       6.7086000   2.0594311e-24   1.3946333e-24   6.6479783e-25
       6.7088000   2.0592849e-24   1.3945455e-24   6.6473941e-25
       6.7090000   2.0591441e-24   1.3944624e-24   6.6468163e-25
       6.7092000   2.0589978e-24   1.3943746e-24   6.6462328e-25
       6.7094000   2.0588519e-24   1.3942867e-24   6.6456519e-25
       6.7096000   2.0587056e-24   1.3941985e-24   6.6450712e-25
       6.7098000   2.0585650e-24   1.3941155e-24   6.6444957e-25
       6.7100000   2.0584188e-24   1.3940274e-24   6.6439147e-25
       6.7102000   2.0582726e-24   1.3939399e-24   6.6433272e-25
       6.7104000   2.0581267e-24   1.3938521e-24   6.6427459e-25
       6.7106000   2.0579860e-24   1.3937678e-24   6.6421815e-25
       6.7108000   2.0578401e-24   1.3936811e-24   6.6415906e-25
       6.7110000   2.0576941e-24   1.3935915e-24   6.6410253e-25
       6.7112000   2.0575480e-24   1.3935045e-24   6.6404342e-25
       6.7114000   2.0574075e-24   1.3934205e-24   6.6398695e-25
       6.7116000   2.0572615e-24   1.3933329e-24   6.6392859e-25
       6.7118000   2.0571158e-24   1.3932440e-24   6.6387172e-25
       6.7120000   2.0569698e-24   1.3931576e-24   6.6381219e-25
       6.7122000   2.0568238e-24   1.3930688e-24   6.6375504e-25
       6.7124000   2.0566834e-24   1.3929869e-24   6.6369651e-25
       6.7126000   2.0565375e-24   1.3928987e-24   6.6363879e-25
       6.7128000   2.0563919e-24   1.3928094e-24   6.6358244e-25
       6.7130000   2.0562460e-24   1.3927228e-24   6.6352321e-25
       6.7132000   2.0561055e-24   1.3926404e-24   6.6346512e-25
       6.7134000   2.0559599e-24   1.3925520e-24   6.6340794e-25
       6.7136000   2.0558142e-24   1.3924627e-24   6.6335145e-25
       6.7138000   2.0556685e-24   1.3923759e-24   6.6329263e-25
       6.7140000   2.0555281e-24   1.3922923e-24   6.6323583e-25
       6.7142000   2.0553824e-24   1.3922056e-24   6.6317678e-25
       6.7144000   2.0552369e-24   1.3921172e-24   6.6311974e-25
       6.7146000   2.0550912e-24   1.3920294e-24   6.6306181e-25
       6.7148000   2.0549457e-24   1.3919416e-24   6.6300407e-25
       6.7150000   2.0548054e-24   1.3918595e-24   6.6294597e-25
       6.7152000   2.0546598e-24   1.3917709e-24   6.6288888e-25
       6.7154000   2.0545143e-24   1.3916818e-24   6.6283259e-25
       6.7156000   2.0543688e-24   1.3915941e-24   6.6277469e-25
       6.7158000   2.0542288e-24   1.3915122e-24   6.6271660e-25
       6.7160000   2.0540833e-24   1.3914247e-24   6.6265862e-25
       6.7162000   2.0539377e-24   1.3913368e-24   6.6260092e-25
       6.7164000   2.0537924e-24   1.3912483e-24   6.6254406e-25
       6.7166000   2.0536523e-24   1.3911664e-24   6.6248591e-25
       6.7168000   2.0535070e-24   1.3910784e-24   6.6242864e-25
       6.7170000   2.0533615e-24   1.3909900e-24   6.6237149e-25
       6.7172000   2.0532161e-24   1.3909020e-24   6.6231416e-25
       6.7174000   2.0530763e-24   1.3908211e-24   6.6225527e-25
       6.7176000   2.0529309e-24   1.3907319e-24   6.6219906e-25
       6.7178000   2.0527857e-24   1.3906433e-24   6.6214245e-25
       6.7180000   2.0526404e-24   1.3905560e-24   6.6208431e-25
       6.7182000   2.0524950e-24   1.3904679e-24   6.6202712e-25
       6.7184000   2.0523553e-24   1.3903855e-24   6.6196976e-25
       6.7186000   2.0522100e-24   1.3902987e-24   6.6191127e-25
       6.7188000   2.0520649e-24   1.3902101e-24   6.6185480e-25
       6.7190000   2.0519197e-24   1.3901234e-24   6.6179631e-25
       6.7192000   2.0517798e-24   1.3900404e-24   6.6173948e-25
       6.7194000   2.0516349e-24   1.3899519e-24   6.6168303e-25
       6.7196000   2.0514897e-24   1.3898656e-24   6.6162409e-25
       6.7198000   2.0513447e-24   1.3897767e-24   6.6156807e-25
       6.7200000   2.0511996e-24   1.3896895e-24   6.6151007e-25
       6.7202000   2.0510599e-24   1.3896080e-24   6.6145187e-25
       6.7204000   2.0509149e-24   1.3895184e-24   6.6139644e-25
       6.7206000   2.0507698e-24   1.3894311e-24   6.6133870e-25
       6.7208000   2.0506250e-24   1.3893439e-24   6.6128109e-25
       6.7210000   2.0504853e-24   1.3892615e-24   6.6122376e-25
       6.7212000   2.0503403e-24   1.3891732e-24   6.6116711e-25
       6.7214000   2.0501955e-24   1.3890865e-24   6.6110898e-25
       6.7216000   2.0500505e-24   1.3889977e-24   6.6105274e-25
       6.7218000   2.0499111e-24   1.3889162e-24   6.6099488e-25
       6.7220000   2.0497661e-24   1.3888284e-24   6.6093776e-25
       6.7222000   2.0496213e-24   1.3887410e-24   6.6088028e-25
       6.7224000   2.0494766e-24   1.3886532e-24   6.6082340e-25
