#Compound = Hypersthene     [Mg1.502Fe0.498Si2O6]
#energy [keV], cross section [cm^2 H^-1]
#       energy     extinction      scattering      absorption
       6.7000000   1.9769373e-24   1.3714090e-24   6.0552832e-25
       6.7002000   1.9768034e-24   1.3713278e-24   6.0547565e-25
       6.7004000   1.9766697e-24   1.3712456e-24   6.0542407e-25
       6.7006000   1.9765102e-24   1.3711389e-24   6.0537135e-25
       6.7008000   1.9763766e-24   1.3710578e-24   6.0531887e-25
       6.7010000   1.9762429e-24   1.3709763e-24   6.0526654e-25
       6.7012000   1.9761090e-24   1.3708943e-24   6.0521462e-25
       6.7014000   1.9759497e-24   1.3707878e-24   6.0516195e-25
       6.7016000   1.9758160e-24   1.3707062e-24   6.0510982e-25
       6.7018000   1.9756823e-24   1.3706244e-24   6.0505792e-25
       6.7020000   1.9755485e-24   1.3705428e-24   6.0500566e-25
       6.7022000   1.9753892e-24   1.3704365e-24   6.0495270e-25
       6.7024000   1.9752556e-24   1.3703545e-24   6.0490112e-25
       6.7026000   1.9751219e-24   1.3702732e-24   6.0484866e-25
       6.7028000   1.9749628e-24   1.3701662e-24   6.0479664e-25
       6.7030000   1.9748290e-24   1.3700849e-24   6.0474413e-25
       6.7032000   1.9746953e-24   1.3700038e-24   6.0469150e-25
       6.7034000   1.9745618e-24   1.3699227e-24   6.0463912e-25
       6.7036000   1.9744025e-24   1.3698158e-24   6.0458670e-25
       6.7038000   1.9742690e-24   1.3697339e-24   6.0453504e-25
       6.7040000   1.9741354e-24   1.3696529e-24   6.0448244e-25
       6.7042000   1.9739762e-24   1.3695457e-24   6.0443052e-25
       6.7044000   1.9738427e-24   1.3694643e-24   6.0437841e-25
       6.7046000   1.9737091e-24   1.3693834e-24   6.0432571e-25
       6.7048000   1.9735756e-24   1.3693019e-24   6.0427372e-25
       6.7050000   1.9734165e-24   1.3691952e-24   6.0422124e-25
       6.7052000   1.9732828e-24   1.3691138e-24   6.0416905e-25
       6.7054000   1.9731495e-24   1.3690323e-24   6.0411719e-25
       6.7056000   1.9730158e-24   1.3689511e-24   6.0406470e-25
       6.7058000   1.9728569e-24   1.3688441e-24   6.0401285e-25
       6.7060000   1.9727234e-24   1.3687630e-24   6.0396039e-25
       6.7062000   1.9725898e-24   1.3686818e-24   6.0390798e-25
       6.7064000   1.9724309e-24   1.3685751e-24   6.0385583e-25
       6.7066000   1.9722974e-24   1.3684938e-24   6.0380360e-25
       6.7068000   1.9721640e-24   1.3684127e-24   6.0375133e-25
       6.7070000   1.9720305e-24   1.3683317e-24   6.0369878e-25
       6.7072000   1.9718715e-24   1.3682243e-24   6.0364725e-25
       6.7074000   1.9717383e-24   1.3681434e-24   6.0359487e-25
       6.7076000   1.9716048e-24   1.3680616e-24   6.0354314e-25
       6.7078000   1.9714460e-24   1.3679557e-24   6.0349029e-25
       6.7080000   1.9713125e-24   1.3678743e-24   6.0343816e-25
       6.7082000   1.9711790e-24   1.3677928e-24   6.0338619e-25
       6.7084000   1.9710458e-24   1.3677123e-24   6.0333353e-25
       6.7086000   1.9708869e-24   1.3676054e-24   6.0328153e-25
       6.7088000   1.9707537e-24   1.3675246e-24   6.0322911e-25
       6.7090000   1.9706203e-24   1.3674423e-24   6.0317793e-25
       6.7092000   1.9704614e-24   1.3673359e-24   6.0312551e-25
       6.7094000   1.9703282e-24   1.3672549e-24   6.0307326e-25
       6.7096000   1.9701948e-24   1.3671738e-24   6.0302101e-25
       6.7098000   1.9700616e-24   1.3670929e-24   6.0296872e-25
       6.7100000   1.9699029e-24   1.3669861e-24   6.0291678e-25
       6.7102000   1.9697695e-24   1.3669052e-24   6.0286427e-25
       6.7104000   1.9696363e-24   1.3668245e-24   6.0281179e-25
       6.7106000   1.9694776e-24   1.3667174e-24   6.0276012e-25
       6.7108000   1.9693444e-24   1.3666360e-24   6.0270833e-25
       6.7110000   1.9692111e-24   1.3665556e-24   6.0265552e-25
       6.7112000   1.9690779e-24   1.3664746e-24   6.0260327e-25
       6.7114000   1.9689193e-24   1.3663676e-24   6.0255170e-25
       6.7116000   1.9687860e-24   1.3662863e-24   6.0249967e-25
       6.7118000   1.9686530e-24   1.3662051e-24   6.0244782e-25
       6.7120000   1.9684943e-24   1.3660989e-24   6.0239541e-25
       6.7122000   1.9683610e-24   1.3660178e-24   6.0234321e-25
       6.7124000   1.9682280e-24   1.3659365e-24   6.0229152e-25
       6.7126000   1.9680947e-24   1.3658557e-24   6.0223907e-25
       6.7128000   1.9679363e-24   1.3657497e-24   6.0218658e-25
       6.7130000   1.9678031e-24   1.3656683e-24   6.0213480e-25
       6.7132000   1.9676700e-24   1.3655880e-24   6.0208199e-25
       6.7134000   1.9675116e-24   1.3654809e-24   6.0203066e-25
       6.7136000   1.9673784e-24   1.3653998e-24   6.0197863e-25
       6.7138000   1.9672455e-24   1.3653199e-24   6.0192557e-25
       6.7140000   1.9671123e-24   1.3652387e-24   6.0187359e-25
       6.7142000   1.9669537e-24   1.3651319e-24   6.0182179e-25
       6.7144000   1.9668208e-24   1.3650511e-24   6.0176971e-25
       6.7146000   1.9666877e-24   1.3649701e-24   6.0171764e-25
       6.7148000   1.9665294e-24   1.3648638e-24   6.0166556e-25
       6.7150000   1.9663963e-24   1.3647827e-24   6.0161365e-25
       6.7152000   1.9662633e-24   1.3647017e-24   6.0156164e-25
       6.7154000   1.9661304e-24   1.3646209e-24   6.0150946e-25
       6.7156000   1.9659719e-24   1.3645143e-24   6.0145759e-25
       6.7158000   1.9658390e-24   1.3644338e-24   6.0140519e-25
       6.7160000   1.9657061e-24   1.3643523e-24   6.0135381e-25
       6.7162000   1.9655477e-24   1.3642462e-24   6.0130144e-25
       6.7164000   1.9654148e-24   1.3641657e-24   6.0124909e-25
       6.7166000   1.9652818e-24   1.3640845e-24   6.0119726e-25
       6.7168000   1.9651491e-24   1.3640034e-24   6.0114563e-25
       6.7170000   1.9649906e-24   1.3638979e-24   6.0109271e-25
       6.7172000   1.9648577e-24   1.3638168e-24   6.0104084e-25
       6.7174000   1.9647249e-24   1.3637360e-24   6.0098896e-25
       6.7176000   1.9645666e-24   1.3636294e-24   6.0093714e-25
       6.7178000   1.9644338e-24   1.3635492e-24   6.0088460e-25
       6.7180000   1.9643010e-24   1.3634679e-24   6.0083304e-25
       6.7182000   1.9641681e-24   1.3633871e-24   6.0078096e-25
       6.7184000   1.9640099e-24   1.3632804e-24   6.0072952e-25
       6.7186000   1.9638770e-24   1.3632000e-24   6.0067706e-25
       6.7188000   1.9637443e-24   1.3631194e-24   6.0062489e-25
       6.7190000   1.9635860e-24   1.3630129e-24   6.0057315e-25
       6.7192000   1.9634532e-24   1.3629321e-24   6.0052109e-25
       6.7194000   1.9633206e-24   1.3628519e-24   6.0046877e-25
       6.7196000   1.9631878e-24   1.3627706e-24   6.0041722e-25
       6.7198000   1.9630298e-24   1.3626647e-24   6.0036513e-25
       6.7200000   1.9628969e-24   1.3625839e-24   6.0031304e-25
       6.7202000   1.9627642e-24   1.3625028e-24   6.0026138e-25
       6.7204000   1.9626062e-24   1.3623972e-24   6.0020900e-25
       6.7206000   1.9624734e-24   1.3623168e-24   6.0015661e-25
       6.7208000   1.9623408e-24   1.3622356e-24   6.0010520e-25
       6.7210000   1.9622081e-24   1.3621551e-24   6.0005301e-25
       6.7212000   1.9620500e-24   1.3620486e-24   6.0000136e-25
       6.7214000   1.9619175e-24   1.3619684e-24   5.9994903e-25
       6.7216000   1.9617848e-24   1.3618876e-24   5.9989719e-25
       6.7218000   1.9616269e-24   1.3617813e-24   5.9984554e-25
       6.7220000   1.9614942e-24   1.3617003e-24   5.9979386e-25
       6.7222000   1.9613615e-24   1.3616197e-24   5.9974175e-25
       6.7224000   1.9612290e-24   1.3615391e-24   5.9968989e-25
       6.7226000   1.9610710e-24   1.3614331e-24   5.9963789e-25
       6.7228000   1.9609385e-24   1.3613535e-24   5.9958500e-25
       6.7230000   1.9608059e-24   1.3612721e-24   5.9953373e-25
       6.7232000   1.9606478e-24   1.3611658e-24   5.9948202e-25
