#compound = Olivine [Mg1.56Fe0.4Si0.91O4]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.8850837e-24   1.9840406e-24   9.0104306e-25
       6.7002000   2.8848770e-24   1.9839131e-24   9.0096398e-25
       6.7004000   2.8846652e-24   1.9837779e-24   9.0088732e-25
       6.7006000   2.8844586e-24   1.9836496e-24   9.0080900e-25
       6.7008000   2.8842523e-24   1.9835202e-24   9.0073204e-25
       6.7010000   2.8840458e-24   1.9833922e-24   9.0065368e-25
       6.7012000   2.8838392e-24   1.9832639e-24   9.0057526e-25
       6.7014000   2.8836275e-24   1.9831300e-24   9.0049746e-25
       6.7016000   2.8834210e-24   1.9830009e-24   9.0042010e-25
       6.7018000   2.8832147e-24   1.9828720e-24   9.0034265e-25
       6.7020000   2.8830081e-24   1.9827433e-24   9.0026475e-25
       6.7022000   2.8827963e-24   1.9826110e-24   9.0018522e-25
       6.7024000   2.8825901e-24   1.9824825e-24   9.0010757e-25
       6.7026000   2.8823837e-24   1.9823531e-24   9.0003054e-25
       6.7028000   2.8821774e-24   1.9822249e-24   8.9995251e-25
       6.7030000   2.8819711e-24   1.9820963e-24   8.9987479e-25
       6.7032000   2.8817593e-24   1.9819628e-24   8.9979655e-25
       6.7034000   2.8815532e-24   1.9818329e-24   8.9972028e-25
       6.7036000   2.8813467e-24   1.9817050e-24   8.9964176e-25
       6.7038000   2.8811406e-24   1.9815757e-24   8.9956486e-25
       6.7040000   2.8809289e-24   1.9814417e-24   8.9948715e-25
       6.7042000   2.8807226e-24   1.9813148e-24   8.9940775e-25
       6.7044000   2.8805166e-24   1.9811854e-24   8.9933122e-25
       6.7046000   2.8803103e-24   1.9810563e-24   8.9925401e-25
       6.7048000   2.8800989e-24   1.9809236e-24   8.9917523e-25
       6.7050000   2.8798926e-24   1.9807943e-24   8.9909827e-25
       6.7052000   2.8796864e-24   1.9806671e-24   8.9901936e-25
       6.7054000   2.8794805e-24   1.9805384e-24   8.9894208e-25
       6.7056000   2.8792742e-24   1.9804088e-24   8.9886546e-25
       6.7058000   2.8790630e-24   1.9802762e-24   8.9878675e-25
       6.7060000   2.8788568e-24   1.9801477e-24   8.9870909e-25
       6.7062000   2.8786507e-24   1.9800194e-24   8.9863131e-25
       6.7064000   2.8784448e-24   1.9798904e-24   8.9855436e-25
       6.7066000   2.8782332e-24   1.9797570e-24   8.9847622e-25
       6.7068000   2.8780274e-24   1.9796294e-24   8.9839791e-25
       6.7070000   2.8778212e-24   1.9795006e-24   8.9832066e-25
       6.7072000   2.8776152e-24   1.9793722e-24   8.9824303e-25
       6.7074000   2.8774041e-24   1.9792392e-24   8.9816484e-25
       6.7076000   2.8771981e-24   1.9791104e-24   8.9808770e-25
       6.7078000   2.8769923e-24   1.9789823e-24   8.9801003e-25
       6.7080000   2.8767862e-24   1.9788532e-24   8.9793301e-25
       6.7082000   2.8765749e-24   1.9787202e-24   8.9785471e-25
       6.7084000   2.8763692e-24   1.9785908e-24   8.9777842e-25
       6.7086000   2.8761633e-24   1.9784644e-24   8.9769888e-25
       6.7088000   2.8759576e-24   1.9783348e-24   8.9762271e-25
       6.7090000   2.8757463e-24   1.9782023e-24   8.9754396e-25
       6.7092000   2.8755404e-24   1.9780730e-24   8.9746733e-25
       6.7094000   2.8753348e-24   1.9779464e-24   8.9738836e-25
       6.7096000   2.8751289e-24   1.9778186e-24   8.9731031e-25
       6.7098000   2.8749179e-24   1.9776831e-24   8.9723476e-25
       6.7100000   2.8747121e-24   1.9775563e-24   8.9715580e-25
       6.7102000   2.8745062e-24   1.9774267e-24   8.9707948e-25
       6.7104000   2.8743006e-24   1.9772994e-24   8.9700127e-25
       6.7106000   2.8740895e-24   1.9771668e-24   8.9692276e-25
       6.7108000   2.8738841e-24   1.9770390e-24   8.9684510e-25
       6.7110000   2.8736783e-24   1.9769110e-24   8.9676734e-25
       6.7112000   2.8734725e-24   1.9767820e-24   8.9669051e-25
       6.7114000   2.8732617e-24   1.9766491e-24   8.9661254e-25
       6.7116000   2.8730560e-24   1.9765211e-24   8.9653492e-25
       6.7118000   2.8728506e-24   1.9763925e-24   8.9645812e-25
       6.7120000   2.8726396e-24   1.9762598e-24   8.9637976e-25
       6.7122000   2.8724338e-24   1.9761317e-24   8.9630204e-25
       6.7124000   2.8722285e-24   1.9760033e-24   8.9622523e-25
       6.7126000   2.8720228e-24   1.9758744e-24   8.9614841e-25
       6.7128000   2.8718121e-24   1.9757425e-24   8.9606964e-25
       6.7130000   2.8716064e-24   1.9756132e-24   8.9599323e-25
       6.7132000   2.8714009e-24   1.9754859e-24   8.9591503e-25
       6.7134000   2.8711956e-24   1.9753575e-24   8.9583808e-25
       6.7136000   2.8709848e-24   1.9752250e-24   8.9575977e-25
       6.7138000   2.8707795e-24   1.9750976e-24   8.9568184e-25
       6.7140000   2.8705740e-24   1.9749696e-24   8.9560441e-25
       6.7142000   2.8703631e-24   1.9748369e-24   8.9552625e-25
       6.7144000   2.8701579e-24   1.9747074e-24   8.9545059e-25
       6.7146000   2.8699525e-24   1.9745794e-24   8.9537313e-25
       6.7148000   2.8697473e-24   1.9744524e-24   8.9529483e-25
       6.7150000   2.8695365e-24   1.9743193e-24   8.9521713e-25
       6.7152000   2.8693311e-24   1.9741915e-24   8.9513964e-25
       6.7154000   2.8691259e-24   1.9740643e-24   8.9506162e-25
       6.7156000   2.8689206e-24   1.9739353e-24   8.9498526e-25
       6.7158000   2.8687101e-24   1.9738026e-24   8.9490756e-25
       6.7160000   2.8685048e-24   1.9736745e-24   8.9483027e-25
       6.7162000   2.8682994e-24   1.9735477e-24   8.9475172e-25
       6.7164000   2.8680889e-24   1.9734140e-24   8.9467490e-25
       6.7166000   2.8678837e-24   1.9732869e-24   8.9459678e-25
       6.7168000   2.8676788e-24   1.9731595e-24   8.9451925e-25
       6.7170000   2.8674734e-24   1.9730300e-24   8.9444340e-25
       6.7172000   2.8672629e-24   1.9728974e-24   8.9436545e-25
       6.7174000   2.8670579e-24   1.9727689e-24   8.9428904e-25
       6.7176000   2.8668527e-24   1.9726431e-24   8.9420957e-25
       6.7178000   2.8666424e-24   1.9725104e-24   8.9413196e-25
       6.7180000   2.8664372e-24   1.9723826e-24   8.9405459e-25
       6.7182000   2.8662320e-24   1.9722536e-24   8.9397840e-25
       6.7184000   2.8660219e-24   1.9721217e-24   8.9390024e-25
       6.7186000   2.8658167e-24   1.9719943e-24   8.9382237e-25
       6.7188000   2.8656118e-24   1.9718663e-24   8.9374545e-25
       6.7190000   2.8654068e-24   1.9717398e-24   8.9366702e-25
       6.7192000   2.8651963e-24   1.9716058e-24   8.9359043e-25
       6.7194000   2.8649916e-24   1.9714774e-24   8.9351415e-25
       6.7196000   2.8647865e-24   1.9713496e-24   8.9343690e-25
       6.7198000   2.8645763e-24   1.9712167e-24   8.9335963e-25
       6.7200000   2.8643713e-24   1.9710898e-24   8.9328153e-25
       6.7202000   2.8641663e-24   1.9709625e-24   8.9320381e-25
       6.7204000   2.8639562e-24   1.9708297e-24   8.9312649e-25
       6.7206000   2.8637513e-24   1.9707020e-24   8.9304928e-25
       6.7208000   2.8635467e-24   1.9705747e-24   8.9297205e-25
       6.7210000   2.8633363e-24   1.9704430e-24   8.9289339e-25
       6.7212000   2.8631314e-24   1.9703143e-24   8.9281711e-25
       6.7214000   2.8629267e-24   1.9701862e-24   8.9274059e-25
       6.7216000   2.8627165e-24   1.9700543e-24   8.9266218e-25
       6.7218000   2.8625120e-24   1.9699275e-24   8.9258443e-25
       6.7220000   2.8623071e-24   1.9697991e-24   8.9250805e-25
       6.7222000   2.8621023e-24   1.9696722e-24   8.9243004e-25
       6.7224000   2.8618923e-24   1.9695392e-24   8.9235315e-25
       6.7226000   2.8616877e-24   1.9694125e-24   8.9227518e-25
       6.7228000   2.8614831e-24   1.9692854e-24   8.9219770e-25
       6.7230000   2.8612730e-24   1.9691514e-24   8.9212161e-25
       6.7232000   2.8610682e-24   1.9690247e-24   8.9204351e-25
       6.7234000   2.8608637e-24   1.9688972e-24   8.9196646e-25
       6.7236000   2.8606537e-24   1.9687652e-24   8.9188843e-25
       6.7238000   2.8604492e-24   1.9686364e-24   8.9181271e-25
       6.7240000   2.8602445e-24   1.9685091e-24   8.9173544e-25
       6.7242000   2.8600345e-24   1.9683769e-24   8.9165762e-25
       6.7244000   2.8598300e-24   1.9682506e-24   8.9157944e-25
       6.7246000   2.8596255e-24   1.9681228e-24   8.9150268e-25
       6.7248000   2.8594157e-24   1.9679894e-24   8.9142633e-25
       6.7250000   2.8592112e-24   1.9678626e-24   8.9134860e-25
       6.7252000   2.8590067e-24   1.9677361e-24   8.9127061e-25
       6.7254000   2.8587969e-24   1.9676030e-24   8.9119387e-25
       6.7256000   2.8585924e-24   1.9674764e-24   8.9111594e-25
       6.7258000   2.8583881e-24   1.9673486e-24   8.9103949e-25
       6.7260000   2.8581783e-24   1.9672158e-24   8.9096245e-25
       6.7262000   2.8579738e-24   1.9670896e-24   8.9088420e-25
       6.7264000   2.8577696e-24   1.9669613e-24   8.9080827e-25
       6.7266000   2.8575598e-24   1.9668285e-24   8.9073125e-25
       6.7268000   2.8573555e-24   1.9667025e-24   8.9065297e-25
       6.7270000   2.8571510e-24   1.9665750e-24   8.9057600e-25
       6.7272000   2.8569412e-24   1.9664423e-24   8.9049892e-25
       6.7274000   2.8567372e-24   1.9663145e-24   8.9042275e-25
       6.7276000   2.8565274e-24   1.9661830e-24   8.9034443e-25
       6.7278000   2.8563233e-24   1.9660560e-24   8.9026728e-25
       6.7280000   2.8561189e-24   1.9659292e-24   8.9018969e-25
       6.7282000   2.8559094e-24   1.9657959e-24   8.9011348e-25
       6.7284000   2.8557053e-24   1.9656695e-24   8.9003575e-25
       6.7286000   2.8555009e-24   1.9655432e-24   8.8995773e-25
       6.7288000   2.8552916e-24   1.9654111e-24   8.8988048e-25
       6.7290000   2.8550873e-24   1.9652841e-24   8.8980322e-25
       6.7292000   2.8548831e-24   1.9651573e-24   8.8972579e-25
       6.7294000   2.8546738e-24   1.9650234e-24   8.8965037e-25
       6.7296000   2.8544694e-24   1.9648971e-24   8.8957229e-25
       6.7298000   2.8542655e-24   1.9647692e-24   8.8949636e-25
       6.7300000   2.8540560e-24   1.9646386e-24   8.8941739e-25
