#Compound = Pyrrhotite  [Fe7S8] 
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.1583408e-24   1.2622860e-24   8.9605473e-25
       6.7002000   2.1581661e-24   1.2621857e-24   8.9598043e-25
       6.7004000   2.1579921e-24   1.2620853e-24   8.9590680e-25
       6.7006000   2.1578175e-24   1.2619850e-24   8.9583243e-25
       6.7008000   2.1576349e-24   1.2618761e-24   8.9575887e-25
       6.7010000   2.1574607e-24   1.2617758e-24   8.9568482e-25
       6.7012000   2.1572860e-24   1.2616755e-24   8.9561054e-25
       6.7014000   2.1571034e-24   1.2615667e-24   8.9553668e-25
       6.7016000   2.1569290e-24   1.2614664e-24   8.9546253e-25
       6.7018000   2.1567550e-24   1.2613662e-24   8.9538883e-25
       6.7020000   2.1565806e-24   1.2612660e-24   8.9531458e-25
       6.7022000   2.1563977e-24   1.2611572e-24   8.9524055e-25
       6.7024000   2.1562236e-24   1.2610570e-24   8.9516666e-25
       6.7026000   2.1560492e-24   1.2609567e-24   8.9509255e-25
       6.7028000   2.1558669e-24   1.2608480e-24   8.9501889e-25
       6.7030000   2.1556925e-24   1.2607477e-24   8.9494481e-25
       6.7032000   2.1555182e-24   1.2606476e-24   8.9487067e-25
       6.7034000   2.1553356e-24   1.2605388e-24   8.9479683e-25
       6.7036000   2.1551614e-24   1.2604387e-24   8.9472267e-25
       6.7038000   2.1549874e-24   1.2603385e-24   8.9464891e-25
       6.7040000   2.1548047e-24   1.2602298e-24   8.9457487e-25
       6.7042000   2.1546304e-24   1.2601297e-24   8.9450076e-25
       6.7044000   2.1544565e-24   1.2600295e-24   8.9442694e-25
       6.7046000   2.1542737e-24   1.2599208e-24   8.9435291e-25
       6.7048000   2.1540999e-24   1.2598208e-24   8.9427913e-25
       6.7050000   2.1539257e-24   1.2597206e-24   8.9420509e-25
       6.7052000   2.1537515e-24   1.2596206e-24   8.9413097e-25
       6.7054000   2.1535692e-24   1.2595119e-24   8.9405726e-25
       6.7056000   2.1533949e-24   1.2594119e-24   8.9398300e-25
       6.7058000   2.1532213e-24   1.2593118e-24   8.9390947e-25
       6.7060000   2.1530386e-24   1.2592033e-24   8.9383528e-25
       6.7062000   2.1528644e-24   1.2591032e-24   8.9376115e-25
       6.7064000   2.1526905e-24   1.2590031e-24   8.9368740e-25
       6.7066000   2.1525079e-24   1.2588947e-24   8.9361323e-25
       6.7068000   2.1523342e-24   1.2587946e-24   8.9353965e-25
       6.7070000   2.1521602e-24   1.2586946e-24   8.9346556e-25
       6.7072000   2.1519776e-24   1.2585861e-24   8.9339148e-25
       6.7074000   2.1518038e-24   1.2584861e-24   8.9331769e-25
       6.7076000   2.1516297e-24   1.2583861e-24   8.9324355e-25
       6.7078000   2.1514476e-24   1.2582777e-24   8.9316988e-25
       6.7080000   2.1512736e-24   1.2581778e-24   8.9309581e-25
       6.7082000   2.1510909e-24   1.2580692e-24   8.9302167e-25
       6.7084000   2.1509173e-24   1.2579693e-24   8.9294795e-25
       6.7086000   2.1507433e-24   1.2578694e-24   8.9287395e-25
       6.7088000   2.1505612e-24   1.2577609e-24   8.9280027e-25
       6.7090000   2.1503873e-24   1.2576610e-24   8.9272624e-25
       6.7092000   2.1502133e-24   1.2575611e-24   8.9265221e-25
       6.7094000   2.1500310e-24   1.2574528e-24   8.9257824e-25
       6.7096000   2.1498571e-24   1.2573529e-24   8.9250419e-25
       6.7098000   2.1496835e-24   1.2572530e-24   8.9243043e-25
       6.7100000   2.1495014e-24   1.2571447e-24   8.9235669e-25
       6.7102000   2.1493274e-24   1.2570448e-24   8.9228261e-25
       6.7104000   2.1491537e-24   1.2569450e-24   8.9220872e-25
       6.7106000   2.1489713e-24   1.2568366e-24   8.9213471e-25
       6.7108000   2.1487977e-24   1.2567369e-24   8.9206081e-25
       6.7110000   2.1486156e-24   1.2566286e-24   8.9198700e-25
       6.7112000   2.1484418e-24   1.2565287e-24   8.9191309e-25
       6.7114000   2.1482682e-24   1.2564289e-24   8.9183931e-25
       6.7116000   2.1480858e-24   1.2563207e-24   8.9176513e-25
       6.7118000   2.1479123e-24   1.2562210e-24   8.9169127e-25
       6.7120000   2.1477387e-24   1.2561211e-24   8.9161755e-25
       6.7122000   2.1475564e-24   1.2560129e-24   8.9154352e-25
       6.7124000   2.1473830e-24   1.2559132e-24   8.9146976e-25
       6.7126000   2.1472006e-24   1.2558050e-24   8.9139564e-25
       6.7128000   2.1470271e-24   1.2557052e-24   8.9132181e-25
       6.7130000   2.1468536e-24   1.2556056e-24   8.9124803e-25
       6.7132000   2.1466714e-24   1.2554973e-24   8.9117409e-25
       6.7134000   2.1464981e-24   1.2553977e-24   8.9110034e-25
       6.7136000   2.1463158e-24   1.2552895e-24   8.9102631e-25
       6.7138000   2.1461423e-24   1.2551899e-24   8.9095240e-25
       6.7140000   2.1459686e-24   1.2550903e-24   8.9087837e-25
       6.7142000   2.1457866e-24   1.2549821e-24   8.9080445e-25
       6.7144000   2.1456133e-24   1.2548825e-24   8.9073083e-25
       6.7146000   2.1454312e-24   1.2547744e-24   8.9065682e-25
       6.7148000   2.1452577e-24   1.2546747e-24   8.9058296e-25
       6.7150000   2.1450842e-24   1.2545751e-24   8.9050907e-25
       6.7152000   2.1449023e-24   1.2544671e-24   8.9043523e-25
       6.7154000   2.1447289e-24   1.2543675e-24   8.9036137e-25
       6.7156000   2.1445469e-24   1.2542594e-24   8.9028742e-25
       6.7158000   2.1443735e-24   1.2541598e-24   8.9021368e-25
       6.7160000   2.1442000e-24   1.2540603e-24   8.9013974e-25
       6.7162000   2.1440182e-24   1.2539522e-24   8.9006600e-25
       6.7164000   2.1438449e-24   1.2538527e-24   8.8999218e-25
       6.7166000   2.1436629e-24   1.2537447e-24   8.8991819e-25
       6.7168000   2.1434896e-24   1.2536452e-24   8.8984439e-25
       6.7170000   2.1433077e-24   1.2535372e-24   8.8977042e-25
