#Compound = Troilite   [FeS]
#energy [keV], cross section [cm^2 H^-1]
#      energy      extinction      scattering      absorption
       6.7000000   2.1120924e-24   1.2546786e-24   8.5741377e-25
       6.7002000   2.1119157e-24   1.2545729e-24   8.5734278e-25
       6.7004000   2.1117457e-24   1.2544735e-24   8.5727218e-25
       6.7006000   2.1115691e-24   1.2543678e-24   8.5720129e-25
       6.7008000   2.1113990e-24   1.2542685e-24   8.5713050e-25
       6.7010000   2.1112225e-24   1.2541628e-24   8.5705969e-25
       6.7012000   2.1110524e-24   1.2540636e-24   8.5698887e-25
       6.7014000   2.1108761e-24   1.2539580e-24   8.5691809e-25
       6.7016000   2.1107060e-24   1.2538586e-24   8.5684735e-25
       6.7018000   2.1105297e-24   1.2537530e-24   8.5677672e-25
       6.7020000   2.1103595e-24   1.2536537e-24   8.5670583e-25
       6.7022000   2.1101831e-24   1.2535481e-24   8.5663496e-25
       6.7024000   2.1100132e-24   1.2534488e-24   8.5656435e-25
       6.7026000   2.1098367e-24   1.2533433e-24   8.5649340e-25
       6.7028000   2.1096668e-24   1.2532441e-24   8.5642277e-25
       6.7030000   2.1094905e-24   1.2531385e-24   8.5635192e-25
       6.7032000   2.1093202e-24   1.2530393e-24   8.5628090e-25
       6.7034000   2.1091442e-24   1.2529337e-24   8.5621042e-25
       6.7036000   2.1089739e-24   1.2528345e-24   8.5613939e-25
       6.7038000   2.1087980e-24   1.2527291e-24   8.5606890e-25
       6.7040000   2.1086280e-24   1.2526299e-24   8.5599801e-25
       6.7042000   2.1084516e-24   1.2525244e-24   8.5592718e-25
       6.7044000   2.1082818e-24   1.2524252e-24   8.5585661e-25
       6.7046000   2.1081054e-24   1.2523198e-24   8.5578565e-25
       6.7048000   2.1079356e-24   1.2522206e-24   8.5571504e-25
       6.7050000   2.1077593e-24   1.2521152e-24   8.5564405e-25
       6.7052000   2.1075894e-24   1.2520160e-24   8.5557333e-25
       6.7054000   2.1074133e-24   1.2519107e-24   8.5550261e-25
       6.7056000   2.1072433e-24   1.2518115e-24   8.5543174e-25
       6.7058000   2.1070675e-24   1.2517062e-24   8.5536139e-25
       6.7060000   2.1068974e-24   1.2516071e-24   8.5529030e-25
       6.7062000   2.1067213e-24   1.2515017e-24   8.5521967e-25
       6.7064000   2.1065454e-24   1.2513964e-24   8.5514899e-25
       6.7066000   2.1063754e-24   1.2512973e-24   8.5507810e-25
       6.7068000   2.1061994e-24   1.2511920e-24   8.5500739e-25
       6.7070000   2.1060295e-24   1.2510929e-24   8.5493668e-25
       6.7072000   2.1058534e-24   1.2509876e-24   8.5486580e-25
       6.7074000   2.1056837e-24   1.2508886e-24   8.5479513e-25
       6.7076000   2.1055076e-24   1.2507833e-24   8.5472433e-25
       6.7078000   2.1053379e-24   1.2506843e-24   8.5465358e-25
       6.7080000   2.1051618e-24   1.2505791e-24   8.5458276e-25
       6.7082000   2.1049860e-24   1.2504738e-24   8.5451221e-25
       6.7084000   2.1048161e-24   1.2503748e-24   8.5444138e-25
       6.7086000   2.1046403e-24   1.2502696e-24   8.5437073e-25
       6.7088000   2.1044707e-24   1.2501706e-24   8.5430009e-25
       6.7090000   2.1042948e-24   1.2500654e-24   8.5422938e-25
       6.7092000   2.1041248e-24   1.2499664e-24   8.5415847e-25
       6.7094000   2.1039491e-24   1.2498613e-24   8.5408786e-25
       6.7096000   2.1037730e-24   1.2497561e-24   8.5401696e-25
       6.7098000   2.1036036e-24   1.2496572e-24   8.5394641e-25
       6.7100000   2.1034276e-24   1.2495520e-24   8.5387567e-25
       6.7102000   2.1032579e-24   1.2494531e-24   8.5380478e-25
       6.7104000   2.1030821e-24   1.2493480e-24   8.5373412e-25
       6.7106000   2.1029127e-24   1.2492491e-24   8.5366357e-25
       6.7108000   2.1027369e-24   1.2491440e-24   8.5359294e-25
       6.7110000   2.1025611e-24   1.2490389e-24   8.5352223e-25
       6.7112000   2.1023914e-24   1.2489401e-24   8.5345129e-25
       6.7114000   2.1022157e-24   1.2488349e-24   8.5338080e-25
       6.7116000   2.1020460e-24   1.2487362e-24   8.5330986e-25
       6.7118000   2.1018704e-24   1.2486311e-24   8.5323930e-25
       6.7120000   2.1016946e-24   1.2485260e-24   8.5316857e-25
       6.7122000   2.1015249e-24   1.2484272e-24   8.5309764e-25
       6.7124000   2.1013494e-24   1.2483221e-24   8.5302723e-25
       6.7126000   2.1011735e-24   1.2482172e-24   8.5295632e-25
       6.7128000   2.1010044e-24   1.2481184e-24   8.5288594e-25
       6.7130000   2.1008285e-24   1.2480134e-24   8.5281514e-25
       6.7132000   2.1006591e-24   1.2479146e-24   8.5274444e-25
       6.7134000   2.1004835e-24   1.2478097e-24   8.5267380e-25
       6.7136000   2.1003078e-24   1.2477047e-24   8.5260305e-25
       6.7138000   2.1001385e-24   1.2476060e-24   8.5253245e-25
       6.7140000   2.0999627e-24   1.2475011e-24   8.5246164e-25
       6.7142000   2.0997932e-24   1.2474024e-24   8.5239079e-25
       6.7144000   2.0996177e-24   1.2472974e-24   8.5232026e-25
       6.7146000   2.0994420e-24   1.2471925e-24   8.5224949e-25
       6.7148000   2.0992727e-24   1.2470939e-24   8.5217883e-25
       6.7150000   2.0990971e-24   1.2469889e-24   8.5210821e-25
       6.7152000   2.0989215e-24   1.2468841e-24   8.5203749e-25
       6.7154000   2.0987521e-24   1.2467854e-24   8.5196672e-25
       6.7156000   2.0985768e-24   1.2466805e-24   8.5189623e-25
       6.7158000   2.0984014e-24   1.2465757e-24   8.5182567e-25
       6.7160000   2.0982321e-24   1.2464771e-24   8.5175497e-25
       6.7162000   2.0980564e-24   1.2463724e-24   8.5168399e-25
       6.7164000   2.0978811e-24   1.2462674e-24   8.5161367e-25
       6.7166000   2.0977117e-24   1.2461689e-24   8.5154284e-25
       6.7168000   2.0975363e-24   1.2460641e-24   8.5147220e-25
       6.7170000   2.0973608e-24   1.2459593e-24   8.5140149e-25
       6.7172000   2.0971915e-24   1.2458608e-24   8.5133070e-25
       6.7174000   2.0970163e-24   1.2457560e-24   8.5126024e-25
       6.7176000   2.0968408e-24   1.2456512e-24   8.5118969e-25
       6.7178000   2.0966718e-24   1.2455528e-24   8.5111903e-25
       6.7180000   2.0964964e-24   1.2454480e-24   8.5104834e-25
       6.7182000   2.0963208e-24   1.2453432e-24   8.5097753e-25
       6.7184000   2.0961519e-24   1.2452448e-24   8.5090710e-25
       6.7186000   2.0959763e-24   1.2451400e-24   8.5083633e-25
       6.7188000   2.0958011e-24   1.2450353e-24   8.5076573e-25
       6.7190000   2.0956319e-24   1.2449369e-24   8.5069493e-25
       6.7192000   2.0954565e-24   1.2448323e-24   8.5062419e-25
       6.7194000   2.0952813e-24   1.2447275e-24   8.5055378e-25
       6.7196000   2.0951121e-24   1.2446291e-24   8.5048297e-25
       6.7198000   2.0949371e-24   1.2445245e-24   8.5041255e-25
       6.7200000   2.0947618e-24   1.2444198e-24   8.5034200e-25
       6.7202000   2.0945865e-24   1.2443152e-24   8.5027127e-25
       6.7204000   2.0944176e-24   1.2442168e-24   8.5020074e-25
       6.7206000   2.0942422e-24   1.2441122e-24   8.5013005e-25
       6.7208000   2.0940671e-24   1.2440077e-24   8.5005938e-25
