# wavel(nm), crosssec(cm2)
24.723616983791388, 1.586571361847455e-17
31.978824093649663, 2.2276029821394106e-17
39.95955191449376, 2.7162873968020977e-17
47.94027973533787, 3.001551947999284e-17
71.88246319787017, 3.438566684656548e-17
80.13526128533395, 3.0907991581752025e-17
85.0627561141127, 3.5547500403342855e-17
93.28532417195207, 7.99900355628892e-17
97.37242417717222, 3.650076888866618e-17
98.29141707775428, 5.053513808059799e-17
99.4522502153316, 7.076313542897406e-17
101.76072520483196, 1.4538203160656295e-17
112.87438336856941, 1.0048677056794748e-17
113.38224786625948, 2.8614179665915154e-18
113.96266443504815, 2.0125269011476056e-18
114.10776857724532, 1.3757311336554561e-18
114.97839343042831, 8.651737501400764e-19
114.83328928823114, 5.926232306274208e-19
115.99412242580847, 4.146965299681331e-19
116.86474727899146, 1.429670606061748e-19
119.91193426513193, 9.703663525750733e-20
119.40406976744187, 6.718143289196689e-20
125.20823545532848, 1.8530105586597462e-19
126.58672480620156, 3.0378065516661725e-19
127.74755794377889, 4.245122817525346e-19
166.7442961592671, 5.3848342875652995e-20
168.0865094745909, 3.768114339936625e-20
170.11796746535117, 2.6529324995156184e-20
171.64156095842145, 1.8297141007938004e-20
172.60892190640254, 1.2606616367269143e-20
174.1808834468718, 8.630838853254998e-21
175.7770290110406, 5.630217380758577e-21
176.64765386422363, 3.915854035935733e-21
178.17124735729385, 2.566176056776837e-21
179.62228877926555, 1.8136148979189972e-21
55.81395348837209, 3.5614136497581895e-17
64.21188630490957, 3.5614136497581895e-17
88.7596899224806, 5.5006369185859393e-17
93.92764857881137, 4.6732231474069644e-17
92.31266149870798, 1.1148017457051834e-16
101.6795865633075, 2.7888665196083934e-17
110.07751937984499, 2.944601633495886e-17
112.015503875969, 1.576304509517701e-17
105.55555555555556, 1.9064963941172698e-17
113.30749354005168, 5.035758526571552e-18
135.27131782945736, 8.156510972942443e-19
129.45736434108528, 7.316557409750849e-19
140.43927648578813, 5.729438926655514e-19
147.54521963824288, 6.049380672694839e-19
164.3410852713178, 7.884155153546927e-20
162.40310077519382, 1.153312243913551e-19
