# wavel(nm), crosssec(cm2)
22.184294495340993, 9.962464340356177e-18
27.625699827734692, 1.390062493956303e-17
34.88090693759297, 1.7694793983780073e-17
42.86163475843708, 1.9661883055617278e-17
50.84236257928117, 2.2870870252900178e-17
58.82309040012527, 2.530784691648025e-17
66.80381822096938, 2.6677491969562823e-17
74.78454604181347, 2.686314235367886e-17
80.58871172970011, 3.316774987486631e-17
83.12803421815049, 1.9202749760410685e-17
86.08193997002137, 1.2935925166531397e-17
91.67881402619774, 9.808057961113883e-18
95.09912594941663, 5.6006120324176546e-18
95.90526007273424, 2.2525902112400178e-17
95.37119621603632, 1.3612051488560936e-17
97.27568808237412, 8.728537751230215e-18
99.59735435752877, 3.788781828233925e-18
99.81501057082453, 2.685860317426803e-18
100.54053128181035, 1.9720005646181014e-18
103.44261412575365, 1.2195179850494677e-18
106.22377685119933, 7.735933151137439e-19
107.0702176806828, 5.474235799931739e-19
110.09322064312373, 3.663017384150275e-19
111.6047221243442, 2.8623236307787913e-19
112.07631058648501, 2.0244574902318014e-19
111.78610230209067, 1.3501701709790531e-19
119.4947598563151, 3.160732193941291e-19
120.75146537355839, 1.7281746630355256e-19
120.8551111894135, 1.0835869238285249e-19
124.52302145050852, 5.99900836115861e-19
122.30615261138517, 7.006009910070658e-20
121.94339225589225, 4.814838415036691e-20
121.94339225589225, 3.4419918590130606e-20
121.94339225589225, 2.5627561198355032e-20
121.58063190039935, 1.82274844492741e-20
121.4597117819017, 1.2898450124306482e-20
124.11995438884973, 3.3596317574164066e-19
129.31951948424813, 8.264666832324045e-19
129.56135972124343, 4.976351343861731e-19
132.5843626836844, 1.4908380546736081e-18
133.79356386866078, 2.4168718741382976e-18
135.72828576462297, 5.508804098181063e-18
137.90484789758045, 8.795377653709404e-18
142.98349287448127, 1.3557880109120061e-17
149.8759396288466, 1.1378058131787984e-17
154.5918242502545, 8.350762083963574e-18
158.2194278051836, 5.915325344246932e-18
161.12151064912695, 4.101613831136853e-18
163.29807278208443, 2.7585376322533518e-18
165.47463491504192, 1.87421921797153e-18
167.6511970479994, 1.167923934370508e-18
169.46499882546397, 8.077674693803873e-19
171.27880060292853, 5.6152206249296e-19
173.455362735886, 3.644435890655494e-19
175.1482443948529, 2.317710274594113e-19
175.99468522433642, 1.4852548333610575e-19
176.5992858168246, 8.64128185949587e-20
177.44572664630806, 5.467620175125998e-20
178.05032723879623, 3.33854973116744e-20
178.77584794978208, 2.069871366927004e-20
179.50136866076787, 1.2638713506550562e-20
180.34780949025134, 8.630838853254998e-21
181.19425031973486, 5.775219394032478e-21
182.4034515047112, 3.786598924717549e-21
183.6126526896876, 2.368645009901446e-21
184.7009337561663, 1.6612905953243007e-21
