# wavel(nm), crosssec(cm2)
125.5709958108214, 8.82282985833834e-17
128.47307865476472, 3.1683855670522365e-17
131.6170017357033, 1.1189172259116228e-17
134.17359852679618, 6.49298695955732e-18
136.45380647560881, 3.0851020834483917e-18
139.7589563812109, 3.871891994900461e-18
147.33661714039619, 4.8848645246138905e-18
153.46323647760988, 4.4568665217939865e-18
155.22665487236708, 3.1857503223289616e-18
157.8566674496907, 1.9720005646181014e-18
159.67046922715525, 1.2335526919460894e-18
161.12151064912695, 8.434512964906599e-19
162.57255207109858, 5.579637617145187e-19
167.3163413352367, 3.720787534508806e-19
172.24616155090962, 6.596413581592063e-19
175.35985460222378, 1.0469556017710146e-18
178.29216747579153, 1.663093872728029e-18
181.91977103072065, 2.4374445002698298e-18
184.20626054413054, 3.4439514002904465e-18
187.67556867120823, 4.7922549251881695e-18
192.19798110301986, 6.4440340573391e-18
196.58667010966946, 8.638915065787483e-18
199.97717539303454, 1.2598924470536738e-17
200.05778880536633, 5.104196156452392e-18
204.06326773060061, 3.504484964802296e-18
204.42602808609348, 8.998984079927661e-18
205.3782740192624, 1.2492586474835475e-17
208.70713375202092, 5.475942752935756e-18
210.057882605121, 2.538441990776788e-18
211.68472327629308, 1.6021071991469317e-18
209.73139828517736, 8.427557170260092e-18
214.71330716728005, 4.043621596879624e-18
212.6334811291207, 6.287566823939296e-18
216.6480290632423, 1.1458030628903968e-18
217.99117253332372, 2.4937069244714437e-18
218.25626663926084, 1.7497491990549693e-18
221.79795326788906, 7.274049286108626e-19
221.82341013494118, 1.1858794766113373e-18
225.22644775551754, 4.684289201419615e-19
226.33776122551967, 3.059010447319831e-19
225.6928539268656, 2.1957964687920753e-19
229.32045748179473, 1.3206289610900722e-19
229.4655616239919, 8.64128185949587e-20
231.08243635133175, 5.824369055477634e-20
230.77149890376637, 3.9687382215983213e-20
235.9408339695404, 2.435682249259413e-20
235.57807361404747, 1.8507711917297862e-20
242.7425906350325, 2.895444434468323e-20
246.5515743677081, 6.165638299352186e-20
250.36055810038374, 9.220164033429616e-20
253.8974715664396, 1.3946612911113123e-19
256.89024449925614, 2.0086349151013869e-19
262.3316498316499, 3.007829524637579e-19
267.41029480855065, 4.25593113391824e-19
272.5219179995872, 5.891810180637121e-19
280.67120113712497, 7.541702282154926e-19
287.91489204522156, 8.121809257273061e-19
295.76288048786523, 6.563537348995073e-19
298.0836982007848, 8.588415372274463e-19
301.19235291382824, 4.337875516996489e-19
304.097458760734, 2.9897827464430413e-19
304.4448292829636, 6.167749544553544e-19
309.41794397463, 2.0060098683972543e-19
309.3091158679822, 3.4505408092947823e-19
313.80331360547774, 1.3023982375611584e-19
313.84362031164363, 2.0306443202270565e-19
316.7860098617528, 8.789018672753856e-20
318.9222652885444, 5.2629997720987596e-20
124.93540051679587, 1.2427829322273295e-16
122.99741602067185, 4.079617715612713e-17
121.0594315245478, 4.191976883253635e-17
119.76744186046513, 2.2440495820216522e-17
119.12144702842379, 1.2343701978005646e-17
117.82945736434111, 8.43827524396207e-18
115.24547803617573, 7.777776464192571e-18
113.95348837209305, 1.9064963941172698e-17
113.30749354005168, 4.4260640985209006e-17
111.36950904392766, 3.659500652317386e-17
109.43152454780362, 1.3760780513545333e-17
106.84754521963823, 2.0129584391726508e-17
